Wall time,Step,Value,Fold
1733967868.4776623,281,0.9098096489906312,1
1733967891.9931636,328,0.9220097661018372,1
1733968007.656307,563,0.9540804028511048,1
1733968075.5757804,704,0.9615554809570312,1
1733968098.5745568,751,0.9643453359603882,1
1733968167.3904786,892,0.9685270190238952,1
1733968212.7385583,986,0.9707297682762146,1
1733968304.6017597,1174,0.9749996662139891,1
1733968579.4138386,1738,0.9810167551040648,1
1733968670.3062804,1926,0.981726884841919,1
1733968715.7548363,2020,0.982202649116516,1
1733968760.6335125,2114,0.9826489686965942,1
1733968783.5276988,2161,0.9829872250556946,1
1733968830.5389774,2255,0.983453094959259,1
1733968966.0392978,2537,0.9842376708984376,1
1733968988.8639848,2584,0.98426353931427,1
1733969010.8663423,2631,0.9843358397483826,1
1733969033.2140174,2678,0.9848751425743104,1
1733969056.0456526,2725,0.9848891496658324,1
1733969235.7214875,3101,0.9857513904571532,1
1733969304.408067,3242,0.986389458179474,1
1733969372.9544015,3383,0.9867798686027528,1
1733969395.4753227,3430,0.9869360327720642,1
1733969419.8035293,3477,0.9871202707290648,1
1733969442.1293318,3524,0.9874237179756165,1
1733969554.2929215,3759,0.9873753190040588,1
1733969736.6224468,4135,0.9875666499137878,1
1733969758.7909718,4182,0.9878512620925904,1
1733969896.3296645,4464,0.9885129928588868,1
1733970083.566825,4840,0.9891502857208252,1
1733970150.7016282,4981,0.9886958599090576,1
1733970173.0677917,5028,0.9893618226051332,1
1733970332.9668422,5357,0.989463984966278,1
1733970402.945667,5498,0.9898425340652466,1
1733970447.969639,5592,0.9897163510322572,1
1733970630.016303,5968,0.9901027083396912,1
1733970698.7656507,6109,0.9902486205101012,1
1733970721.2181308,6156,0.9902966022491456,1
1733970927.2609267,6579,0.9907770156860352,1
1733970973.941713,6673,0.990413248538971,1
1733970996.8583734,6720,0.9906076788902284,1
1733971019.4562438,6767,0.9906007647514344,1
1733971180.4803748,7096,0.9908557534217834,1
1733971293.6979768,7331,0.991124987602234,1
1733971339.5207329,7425,0.9908682107925416,1
1733971361.8648722,7472,0.9909629225730896,1
1733971452.7460196,7660,0.99121356010437,1
1733971567.0066924,7895,0.991363286972046,1
1733971589.4661958,7942,0.9913287162780762,1
1733971657.4634871,8083,0.9914525747299194,1
1733971796.7736778,8365,0.9916804432868958,1
1733971819.5899355,8412,0.9914007186889648,1
1733971865.296918,8506,0.9915801286697388,1
1733971934.1364765,8647,0.9914863705635072,1
1733971979.133771,8741,0.9916453957557678,1
1733972002.1464334,8788,0.9916476607322692,1
