Wall time,Step,Value
1733967868.4776623,281,0.9098096489906311
1733967891.9931636,328,0.9220097661018372
1733968007.656307,563,0.9540804028511047
1733968075.5757804,704,0.9615554809570312
1733968098.5745568,751,0.9643453359603882
1733968167.3904786,892,0.9685270190238953
1733968212.7385583,986,0.9707297682762146
1733968304.6017597,1174,0.9749996662139893
1733968579.4138386,1738,0.9810167551040649
1733968670.3062804,1926,0.981726884841919
1733968715.7548363,2020,0.9822026491165161
1733968760.6335123,2114,0.9826489686965942
1733968783.5276988,2161,0.9829872250556946
1733968830.5389774,2255,0.983453094959259
1733968966.0392978,2537,0.9842376708984375
1733968988.8639848,2584,0.98426353931427
1733969010.8663423,2631,0.9843358397483826
1733969033.2140174,2678,0.9848751425743103
1733969056.0456526,2725,0.9848891496658325
1733969235.7214875,3101,0.9857513904571533
1733969304.408067,3242,0.9863894581794739
1733969372.9544017,3383,0.9867798686027527
1733969395.4753227,3430,0.9869360327720642
1733969419.8035293,3477,0.9871202707290649
1733969442.1293318,3524,0.9874237179756165
1733969554.2929215,3759,0.9873753190040588
1733969736.6224468,4135,0.9875666499137878
1733969758.7909718,4182,0.9878512620925903
1733969896.3296645,4464,0.9885129928588867
1733970083.566825,4840,0.9891502857208252
1733970150.7016282,4981,0.9886958599090576
1733970173.0677917,5028,0.9893618226051331
1733970332.9668422,5357,0.9894639849662781
1733970402.945667,5498,0.9898425340652466
1733970447.969639,5592,0.9897163510322571
1733970630.016303,5968,0.9901027083396912
1733970698.7656507,6109,0.9902486205101013
1733970721.2181308,6156,0.9902966022491455
1733970927.2609267,6579,0.9907770156860352
1733970973.9417133,6673,0.990413248538971
1733970996.8583734,6720,0.9906076788902283
1733971019.4562438,6767,0.9906007647514343
1733971180.4803748,7096,0.9908557534217834
1733971293.6979768,7331,0.9911249876022339
1733971339.5207329,7425,0.9908682107925415
1733971361.8648722,7472,0.9909629225730896
1733971452.7460196,7660,0.9912135601043701
1733971567.0066924,7895,0.9913632869720459
1733971589.4661958,7942,0.9913287162780762
1733971657.4634871,8083,0.9914525747299194
1733971796.7736778,8365,0.9916804432868958
1733971819.5899355,8412,0.9914007186889648
1733971865.296918,8506,0.9915801286697388
1733971934.1364765,8647,0.9914863705635071
1733971979.133771,8741,0.9916453957557678
1733972002.1464334,8788,0.9916476607322693
1733972051.1262243,8882,0.9917335510253906
1733972096.691108,8976,0.9916252493858337
1733972119.856453,9023,0.9916927814483643
1733972280.0206518,9352,0.9917429685592651
1733972462.375274,9728,0.9919363260269165
1733972485.228406,9775,0.9921593070030212
1733972508.5945926,9822,0.9918838143348694
1733972601.0964754,10010,0.9919494986534119
1733972827.6650608,10480,0.9921059608459473
1733972850.9212394,10527,0.9922473430633545
1733972896.2592745,10621,0.9923045039176941
1733972986.461144,10809,0.9920096397399902
1733973054.443834,10950,0.9921858906745911
1733973077.8123205,10997,0.9922937154769897
1733973100.4834743,11044,0.9922670125961304
1733973168.993219,11185,0.9924753904342651
1733973445.334565,11749,0.9924435615539551
1733973583.117166,12031,0.9925519227981567
1733973651.8418791,12172,0.9924992918968201
1733973696.650943,12266,0.9925077557563782
1733973719.8668215,12313,0.9923129081726074
1733973765.1675773,12407,0.9923927187919617
1733973856.5502992,12595,0.9925087094306946
1733973946.7259445,12783,0.9925224781036377
1733973991.7630525,12877,0.9926709532737732
1733974106.7801254,13112,0.992620587348938
1733974423.840804,13770,0.9928580522537231
1733974538.6047952,14005,0.992667555809021
1733974561.6778574,14052,0.9926877617835999
1733974905.2497034,140,0.8553197383880615
1733974927.6917365,187,0.8810566663742065
1733975019.461374,375,0.9317525625228882
1733975043.7510676,422,0.9384238719940186
1733975089.1269326,516,0.9499447345733643
1733975158.9846022,657,0.9586609601974487
1733975273.3611815,892,0.9691770672798157
1733975296.8458843,939,0.971100926399231
1733975318.7685602,986,0.9715186357498169
1733975433.883821,1221,0.9759688377380371
1733975456.7481687,1268,0.977107048034668
1733975480.1065948,1315,0.9770296812057495
1733975549.2740252,1456,0.9786045551300049
1733975758.3056688,1879,0.981177806854248
1733975802.6547396,1973,0.9820310473442078
1733975940.257639,2255,0.9829016923904419
