Wall time,Step,Value
1733967808.051436,151,0.9138832092285156
1733967900.445626,343,0.7090502977371216
1733967911.517144,367,0.7531565427780151
1733967954.4555705,455,0.6505208611488342
1733968015.5657933,575,0.5151305198669434
1733968103.942629,759,0.4647945165634155
1733968340.1822903,1247,0.3740871548652649
1733968357.156524,1271,0.5003325939178467
1733968388.176129,1343,0.29523026943206787
1733968629.8523932,1839,0.19821107387542725
1733968644.3244982,1879,0.1411452442407608
1733968730.774363,2047,0.2651837170124054
1733968775.1943755,2143,0.23213446140289307
1733968797.7993333,2191,0.24186971783638
1733968933.872614,2471,0.1250232309103012
1733968939.694943,2487,0.10732796788215637
1733968974.7707171,2551,0.18621604144573212
1733969084.771189,2783,0.08702708035707474
1733969161.8975499,2943,0.08593083918094635
1733969369.0102208,3375,0.0832349956035614
1733969452.4031537,3543,0.0825856402516365
1733969522.3582854,3687,0.07859358191490173
1733969572.0934002,3799,0.0649564117193222
1733969817.0862908,4295,0.07791989296674728
1733969917.8191273,4511,0.08546221256256104
1733969983.7764783,4639,0.06529267877340317
1733970010.9885154,4695,0.06665347516536713
1733970017.9831805,4703,0.0821714699268341
1733970144.6541655,4967,0.07101231068372726
1733970200.5141442,5079,0.06317596137523651
1733970232.0807717,5143,0.052738532423973083
1733970250.7860577,5183,0.06041421741247177
1733970302.9640522,5295,0.07258660346269608
1733970344.9932644,5375,0.06573766469955444
1733970509.9852057,5719,0.061920978128910065
1733970541.7991269,5783,0.05975333973765373
1733970572.602035,5847,0.05357832834124565
1733970672.2515488,6055,0.06335556507110596
1733970707.6648974,6127,0.05843926966190338
1733970724.977563,6159,0.059943731874227524
1733970732.3426008,6175,0.05405081808567047
1733970786.0804365,6287,0.08837305009365082
1733970795.4846244,6303,0.05401752516627312
1733970823.3747556,6359,0.052277032285928726
1733970852.4004467,6423,0.06245677173137665
1733970875.676037,6471,0.05523982644081116
1733970985.6889312,6695,0.055494554340839386
1733971411.0837276,7567,0.04525686427950859
1733971471.453288,7703,0.06405127048492432
1733971511.1061633,7775,0.06325069814920425
1733971514.4015353,7783,0.0586102120578289
1733971536.8785498,7831,0.05883300304412842
1733971558.243402,7879,0.049046728760004044
1733971630.0479908,8023,0.05133891850709915
1733971642.1548128,8047,0.055076614022254944
1733971674.847897,8119,0.071748748421669
1733971870.0405147,8511,0.06280167400836945
1733971879.2917404,8535,0.042643286287784576
1733971903.9893537,8583,0.061719153076410294
1733971926.593593,8631,0.047815192490816116
1733971986.747284,8751,0.045155711472034454
1733972010.0359478,8799,0.0509980246424675
1733972031.5672927,8839,0.061974745243787766
1733972230.9158664,9255,0.056861698627471924
1733972253.0347407,9295,0.04615819826722145
1733972254.4701018,9303,0.05129437521100044
1733972327.5558605,9447,0.051112670451402664
1733972378.3241162,9551,0.048735540360212326
1733972574.5967863,9959,0.05231507495045662
1733972641.7145364,10095,0.05326147377490997
1733972855.0778825,10535,0.051487743854522705
1733972866.9527357,10559,0.042803358286619186
1733972923.0362654,10671,0.05061682313680649
1733972935.84856,10703,0.043117113411426544
1733973119.7344868,11087,0.046941787004470825
1733973149.723589,11143,0.043684639036655426
1733973236.5994167,11319,0.06307540833950043
1733973283.4995584,11415,0.041413698345422745
1733973323.227777,11495,0.0416700541973114
1733973439.297259,11735,0.04963768273591995
1733973482.1776578,11823,0.034816332161426544
1733973510.761984,11887,0.16888156533241272
1733973534.1687245,11935,0.04412161558866501
1733973664.146084,12191,0.04527980834245682
1733973774.9144583,12423,0.04441867768764496
1733973835.862603,12551,0.04521983861923218
1733973897.3916569,12679,0.047638338059186935
1733973914.472299,12711,0.04548873007297516
1733973980.168253,12847,0.04466269165277481
1733974114.9860718,13127,0.03898867219686508
1733974276.8423254,13463,0.04180825501680374
1733974308.4946952,13535,0.05071067065000534
1733974337.000629,13583,0.03801487758755684
1733974353.0363624,13623,0.04025885462760925
1733974383.1257226,13679,0.03646092116832733
1733974415.435344,13751,0.03600013628602028
1733974467.1633327,13863,0.04153028503060341
1733974479.2428339,13879,0.037052832543849945
1733974487.3951368,13903,0.0366852805018425
1733974526.4203322,13975,0.045370280742645264
1733974915.0596795,159,0.9795364141464233
1733975093.3503242,519,0.5063375234603882
1733975163.975675,663,0.7561448812484741
1733975197.3689783,735,0.3526085615158081
1733975246.438944,839,0.4580947756767273
1733975261.259226,863,0.3646255433559418
1733975290.635895,927,0.37510132789611816
1733975446.046589,1247,0.2854347825050354
1733975514.5601206,1383,0.28642895817756653
1733975554.302279,1463,0.2028517723083496
1733975564.0937467,1487,0.23438799381256104
1733975647.7886457,1647,0.3077140152454376
1733975776.6329052,1919,0.17060114443302155
1733975821.0523872,2015,0.16180837154388428
1733975911.8836095,2199,0.13594743609428406
1733976060.6068382,2495,0.12467928975820541
1733976071.10314,2519,0.13419976830482483
1733976073.2751324,2527,0.14393477141857147
1733976106.1254418,2591,0.1523900032043457
1733976118.6189072,2623,0.12322098016738892
1733976149.4466827,2679,0.11113162338733673
1733976355.58589,3103,0.09082676470279694
1733976384.783922,3159,0.10935892164707184
1733976414.4791362,3231,0.10287363827228546
1733976502.758042,3407,0.10255783796310425
1733976520.6300435,3439,0.10054817795753479
1733976548.858218,3503,0.10356065630912781
1733976578.968958,3567,0.1341571807861328
1733976597.6302302,3599,0.08176396042108536
1733976670.6236315,3759,0.346019446849823
1733976691.293719,3799,0.08067116141319275
1733976697.8109293,3807,0.07300359755754471
1733976713.6863093,3847,0.1012401282787323
1733976774.115211,3967,0.09187397360801697
1733976795.331181,4007,0.11711670458316803
1733976867.8189118,4159,0.10718661546707153
1733976932.529627,4287,0.07375414669513702
1733976969.946062,4367,0.11702851206064224
1733977015.256019,4463,0.07188603281974792
1733977120.7441177,4671,0.08160965144634247
1733977151.836925,4743,0.05894961953163147
1733977291.1188853,5023,0.06919726729393005
1733977298.2828252,5031,0.06587432324886322
1733977306.5656953,5047,0.1838608980178833
1733977475.488168,5399,0.06495154649019241
1733977508.6265094,5463,0.09652429074048996
1733977541.5912077,5535,0.06954269111156464
1733977552.993597,5551,0.06233011186122894
1733977568.0213323,5591,0.059258557856082916
1733977666.3253558,5791,0.05617627874016762
1733977669.7885199,5799,0.06057748943567276
1733977710.9531698,5879,0.06591087579727173
1733977716.5244668,5895,0.06599363684654236
1733977739.2074604,5935,0.06756395846605301
1733977789.200832,6047,0.183763787150383
1733977813.4322696,6095,0.051172226667404175
1733977851.3424854,6167,0.06593057513237
1733977909.7294602,6287,0.06031888723373413
1733977934.742489,6335,0.06587732583284378
1733978139.8026829,6759,0.05643478035926819
1733978206.7754612,6895,0.061587799340486526
1733978449.814576,7391,0.053965285420417786
